PARTICIPANT;REPEATED_CONG;RANDOM_CONG;REPEATED_INC;RANDOM_INC
'y046d_subj1.mat';493,1604167;497,8666667;504,453125;503,4572917
'y046d_subj10.mat';572,015625;583,403125;553,0010417;556,859375
'y046d_subj12.mat';576,734375;589,609375;556,996875;563,2885417
'y046d_subj13.mat';544,40625;553,8354167;560,328125;567,234375
'y046d_subj14.mat';706,7908654;735,3260417;708,1854167;727,1739583
'y046d_subj15.mat';612,5375;599,03125;623,484375;616,5697917
'y046d_subj16.mat';776,8208333;758,4260417;685,5791667;750,28125
'y046d_subj17.mat';579,0989583;591,2270833;586,321875;602,421875
'y046d_subj18.mat';464,953125;450,240625;469,125;460,546875
'y046d_subj19.mat';529,5791667;523,484375;557,0708333;545,9645833
'y046d_subj20.mat';856,9331845;943,1419643;894,3354167;909,059375
'y046d_subj7.mat';600,6989583;638,2989583;628,65625;621,9427083
'y046d_subj8.mat';467,421875;481,0739583;473,4135417;461,546875
'y046d_subj9.mat';574,90625;608,9864583;588,4760417;607,3479167
