subj,mean_Acc,mean_RT,trial_Count,phase1_repeated,phase1_random,phase2_repeated_congruent,phase2_repeated_incongruent,phase2_random_congruent,phase2_random_incongruent
1,0.9758064516129032,698.633064516129,496,894.7923497267759,842.8695652173913,504.1803278688525,504.453125,511.2903225806452,511.0967741935484
5,0.9835526315789473,1105.2927631578948,304,1137.4216216216216,1216.6041666666667,886.5,805.2,750.4375,788.7333333333333
6,0.9736842105263158,842.8388157894736,304,847.1092896174863,932.9333333333333,593.4375,635.625,651.9285714285714,645.8125
7,0.9556451612903226,1050.655241935484,496,1319.6057142857144,1410.3777777777777,650.2786885245902,631.2295081967213,638.984126984127,631.4166666666666
8,0.9838709677419355,640.4879032258065,496,747.8378378378378,869.9512195121952,472.1803278688525,489.109375,491.125,463.98387096774195
9,0.9536290322580645,840.3266129032259,496,1050.0614525139665,1069.2291666666667,598.2321428571429,607.360655737705,620.327868852459,618.4126984126984
10,0.9919354838709677,681.0100806451613,496,718.6137566137567,908.2307692307693,582.625,567.5322580645161,588.109375,562.234375
12,0.9778225806451613,852.5947580645161,496,1123.9076086956522,1187.9782608695652,576.734375,566.5,590.6129032258065,564.1111111111111
13,0.9818548387096774,867.9798387096774,496,1124.655737704918,1240.088888888889,539.7777777777778,560.328125,553.4603174603175,594.59375
14,0.8770161290322581,1197.4959677419354,496,1636.35,1435,737.5901639344262,744.8703703703703,752.3666666666667,748.5925925925926
15,0.9919354838709677,767.703629032258,496,879.478021978022,924.1489361702128,624.296875,638.0983606557377,599.03125,632.125
16,0.9838709677419355,999.6774193548387,496,1186.0430107526881,1158.9574468085107,757.5081967213115,680.4516129032259,820.0645161290323,750.28125
17,0.9112903225806451,919.375,496,1064.5241379310344,1070.5106382978724,607.6825396825396,601.3709677419355,601.984126984127,602.421875
18,0.9879032258064516,740.8346774193549,496,997.4368421052632,1042.9130434782608,464.953125,489.06451612903226,464.88524590163934,459.9047619047619
19,0.9717741935483871,799.8004032258065,496,1012.8369565217391,992.3777777777777,543.4354838709677,597.2459016393443,528.360655737705,552.9666666666667
20,0.9778225806451613,1106.1350806451612,496,895.1832460732984,1075.7659574468084,875.3103448275862,904.9180327868852,926.5272727272727,908.6129032258065
